Num,MSE
1,0.487789
2,0.487528
3,0.487254
4,0.486967
5,0.486665
6,0.486347
7,0.486013
8,0.485660
9,0.485288
10,0.484893
11,0.484475
12,0.484031
13,0.483558
14,0.483054
15,0.482515
16,0.481938
17,0.481317
18,0.480649
19,0.479927
20,0.479143
21,0.478289
22,0.477354
23,0.476325
24,0.475185
25,0.473911
26,0.472473
27,0.470831
28,0.468924
29,0.466668
30,0.463949
31,0.460639
32,0.456709
33,0.452383
34,0.448039
35,0.443900
36,0.440004
37,0.436332
38,0.432853
39,0.429546
40,0.426394
41,0.423382
42,0.420500
43,0.417739
44,0.415090
45,0.412546
46,0.410100
47,0.407745
48,0.405478
49,0.403292
50,0.401183
51,0.399146
52,0.397177
53,0.395274
54,0.393431
55,0.391647
56,0.389918
57,0.388242
58,0.386615
59,0.385036
60,0.383502
61,0.382011
62,0.380562
63,0.379151
64,0.377779
65,0.376442
66,0.375140
67,0.373870
68,0.372633
69,0.371425
70,0.370247
71,0.369097
72,0.367974
73,0.366877
74,0.365804
75,0.364756
76,0.363731
77,0.362727
78,0.361746
79,0.360785
80,0.359845
81,0.358923
82,0.358021
83,0.357136
84,0.356269
85,0.355419
86,0.354585
87,0.353767
88,0.352964
89,0.352176
90,0.351402
91,0.350642
92,0.349895
93,0.349161
94,0.348439
95,0.347730
96,0.347032
97,0.346347
98,0.345672
99,0.345008
100,0.344355
101,0.343713
102,0.343080
103,0.342457
104,0.341844
105,0.341240
106,0.340645
107,0.340059
108,0.339482
109,0.338913
110,0.338352
111,0.337800
112,0.337255
113,0.336718
114,0.336188
115,0.335666
116,0.335151
117,0.334643
118,0.334141
119,0.333647
120,0.333159
121,0.332677
122,0.332201
123,0.331732
124,0.331269
125,0.330811
126,0.330359
127,0.329913
128,0.329472
129,0.329037
130,0.328607
131,0.328182
132,0.327762
133,0.327348
134,0.326938
135,0.326533
136,0.326132
137,0.325736
138,0.325345
139,0.324958
140,0.324575
141,0.324197
142,0.323823
143,0.323453
144,0.323088
145,0.322726
146,0.322369
147,0.322016
148,0.321666
149,0.321321
150,0.320979
151,0.320641
152,0.320306
153,0.319975
154,0.319648
155,0.319324
156,0.319004
157,0.318686
158,0.318372
159,0.318062
160,0.317754
161,0.317450
162,0.317148
163,0.316850
164,0.316555
165,0.316262
166,0.315973
167,0.315686
168,0.315402
169,0.315121
170,0.314842
171,0.314566
172,0.314293
173,0.314022
174,0.313754
175,0.313488
176,0.313225
177,0.312964
178,0.312706
179,0.312450
180,0.312196
181,0.311944
182,0.311695
183,0.311448
184,0.311203
185,0.310961
186,0.310720
187,0.310482
188,0.310245
189,0.310011
190,0.309779
191,0.309548
192,0.309320
193,0.309093
194,0.308869
195,0.308646
196,0.308425
197,0.308206
198,0.307989
199,0.307773
200,0.307559
201,0.307347
202,0.307137
203,0.306928
204,0.306721
205,0.306516
206,0.306312
207,0.306110
208,0.305909
209,0.305710
210,0.305513
211,0.305317
212,0.305123
213,0.304930
214,0.304738
215,0.304548
216,0.304359
217,0.304172
218,0.303986
219,0.303802
220,0.303619
221,0.303437
222,0.303257
223,0.303077
224,0.302900
225,0.302723
226,0.302548
227,0.302374
228,0.302201
229,0.302029
230,0.301859
231,0.301690
232,0.301522
233,0.301355
234,0.301189
235,0.301025
236,0.300861
237,0.300699
238,0.300538
239,0.300378
240,0.300219
241,0.300061
242,0.299904
243,0.299748
244,0.299593
245,0.299440
246,0.299287
247,0.299135
248,0.298984
249,0.298834
250,0.298686
251,0.298538
252,0.298391
253,0.298245
254,0.298100
255,0.297956
256,0.297812
257,0.297670
258,0.297529
259,0.297388
260,0.297248
261,0.297109
262,0.296971
263,0.296834
264,0.296698
265,0.296563
266,0.296428
267,0.296294
268,0.296161
269,0.296029
270,0.295898
271,0.295767
272,0.295637
273,0.295508
274,0.295380
275,0.295252
276,0.295125
277,0.294999
278,0.294874
279,0.294749
280,0.294625
281,0.294502
282,0.294380
283,0.294258
284,0.294137
285,0.294016
286,0.293897
287,0.293777
288,0.293659
289,0.293541
290,0.293424
291,0.293308
292,0.293192
293,0.293077
294,0.292962
295,0.292848
296,0.292735
297,0.292622
298,0.292510
299,0.292399
300,0.292288
301,0.292178
302,0.292068
303,0.291959
304,0.291850
305,0.291742
306,0.291635
307,0.291528
308,0.291422
309,0.291316
310,0.291211
311,0.291106
312,0.291002
313,0.290898
314,0.290795
315,0.290693
316,0.290591
317,0.290489
318,0.290388
319,0.290288
320,0.290188
321,0.290088
322,0.289989
323,0.289891
324,0.289793
325,0.289695
326,0.289598
327,0.289501
328,0.289405
329,0.289310
330,0.289214
331,0.289120
332,0.289025
333,0.288931
334,0.288838
335,0.288745
336,0.288653
337,0.288560
338,0.288469
339,0.288378
340,0.288287
341,0.288196
342,0.288106
343,0.288017
344,0.287928
345,0.287839
346,0.287751
347,0.287663
348,0.287575
349,0.287488
350,0.287401
351,0.287315
352,0.287229
353,0.287143
354,0.287058
355,0.286973
356,0.286888
357,0.286804
358,0.286720
359,0.286637
360,0.286554
361,0.286471
362,0.286389
363,0.286307
364,0.286225
365,0.286144
366,0.286063
367,0.285982
368,0.285902
369,0.285822
370,0.285743
371,0.285663
372,0.285584
373,0.285506
374,0.285427
375,0.285349
376,0.285272
377,0.285194
378,0.285117
379,0.285041
380,0.284964
381,0.284888
382,0.284812
383,0.284737
384,0.284661
385,0.284587
386,0.284512
387,0.284438
388,0.284363
389,0.284290
390,0.284216
391,0.284143
392,0.284070
393,0.283997
394,0.283925
395,0.283853
396,0.283781
397,0.283709
398,0.283638
399,0.283567
400,0.283496
401,0.283426
402,0.283356
403,0.283286
404,0.283216
405,0.283146
406,0.283077
407,0.283008
408,0.282939
409,0.282871
410,0.282802
411,0.282734
412,0.282667
413,0.282599
414,0.282532
415,0.282465
416,0.282398
417,0.282331
418,0.282265
419,0.282198
420,0.282132
421,0.282067
422,0.282001
423,0.281936
424,0.281871
425,0.281806
426,0.281741
427,0.281677
428,0.281612
429,0.281548
430,0.281485
431,0.281421
432,0.281357
433,0.281294
434,0.281231
435,0.281168
436,0.281106
437,0.281043
438,0.280981
439,0.280919
440,0.280857
441,0.280795
442,0.280734
443,0.280672
444,0.280611
445,0.280550
446,0.280490
447,0.280429
448,0.280368
449,0.280308
450,0.280248
451,0.280188
452,0.280128
453,0.280069
454,0.280009
455,0.279950
456,0.279891
457,0.279832
458,0.279773
459,0.279715
460,0.279656
461,0.279598
462,0.279540
463,0.279482
464,0.279424
465,0.279366
466,0.279308
467,0.279251
468,0.279194
469,0.279137
470,0.279080
471,0.279023
472,0.278966
473,0.278909
474,0.278853
475,0.278797
476,0.278740
477,0.278684
478,0.278628
479,0.278573
480,0.278517
481,0.278461
482,0.278406
483,0.278351
484,0.278295
485,0.278240
486,0.278185
487,0.278130
488,0.278076
489,0.278021
490,0.277967
491,0.277912
492,0.277858
493,0.277804
494,0.277750
495,0.277696
496,0.277642
497,0.277588
498,0.277534
499,0.277481
500,0.277427
501,0.277374
502,0.277320
503,0.277267
504,0.277214
505,0.277161
506,0.277108
